STATION_ID,DATE TIME,OBS DATE,VALUE,Rounded Date,Rainfall,Cumulative Daily Rainfall,Event ID,Cumulative Rainfall per Event
BDC,2015-10-23 00:52,2015-10-23 00:52:00,0.31,2015-10-23 01:00:00,0.0,0.0,0,0.0
BDC,2015-10-23 12:52,2015-10-23 12:52:00,0.31,2015-10-23 13:00:00,0.0,0.0,0,0.0
BDC,2015-10-24 00:52,2015-10-24 00:52:00,0.31,2015-10-24 01:00:00,0.0,0.0,0,0.0
BDC,2015-10-25 00:52,2015-10-25 00:52:00,0.31,2015-10-25 01:00:00,0.0,0.0,1,0.0
BDC,2015-10-25 12:52,2015-10-25 12:52:00,0.31,2015-10-25 13:00:00,0.0,0.0,1,0.0
BDC,2015-10-26 00:52,2015-10-26 00:52:00,0.31,2015-10-26 01:00:00,0.0,0.0,1,0.0
BDC,2015-10-26 12:52,2015-10-26 12:52:00,0.31,2015-10-26 13:00:00,0.0,0.0,1,0.0
BDC,2015-10-27 00:52,2015-10-27 00:52:00,0.31,2015-10-27 01:00:00,0.0,0.0,1,0.0
BDC,2015-10-27 12:52,2015-10-27 12:52:00,0.31,2015-10-27 13:00:00,0.0,0.0,1,0.0
BDC,2015-10-28 00:52,2015-10-28 00:52:00,0.31,2015-10-28 01:00:00,0.0,0.0,1,0.0
BDC,2015-10-29 12:52,2015-10-29 12:52:00,0.31,2015-10-29 13:00:00,0.0,0.0,2,0.0
BDC,2015-10-30 00:52,2015-10-30 00:52:00,0.31,2015-10-30 01:00:00,0.0,0.0,2,0.0
BDC,2015-10-30 12:52,2015-10-30 12:52:00,0.31,2015-10-30 13:00:00,0.0,0.0,2,0.0
BDC,2015-10-31 12:52,2015-10-31 12:52:00,0.31,2015-10-31 13:00:00,0.0,0.0,3,0.0
BDC,2015-11-01 00:52,2015-11-01 00:52:00,0.31,2015-11-01 01:00:00,0.0,0.0,3,0.0
BDC,2015-11-03 11:52,2015-11-03 11:52:00,1.26,2015-11-03 12:00:00,0.0,0.0,4,0.0
BDC,2015-11-08 11:52,2015-11-08 11:52:00,1.26,2015-11-08 12:00:00,0.0,0.0,5,0.0
BDC,2015-11-08 13:33,2015-11-08 13:33:00,1.34,2015-11-08 14:00:00,0.08,0.08,5,0.08
BDC,2015-11-08 23:52,2015-11-08 23:52:00,1.38,2015-11-09 00:00:00,0.0399999999999998,0.1199999999999998,5,0.1199999999999998
BDC,2015-11-09 09:32,2015-11-09 09:32:00,1.5,2015-11-09 10:00:00,0.1200000000000001,0.1200000000000001,5,0.2399999999999999
BDC,2015-11-09 09:33,2015-11-09 09:33:00,1.54,2015-11-09 10:00:00,0.04,0.1600000000000001,5,0.2799999999999999
BDC,2015-11-09 09:41,2015-11-09 09:41:00,1.61,2015-11-09 10:00:00,0.07,0.2300000000000002,5,0.3499999999999999
BDC,2015-11-09 09:43,2015-11-09 09:43:00,1.69,2015-11-09 10:00:00,0.0799999999999998,0.31,5,0.4299999999999997
BDC,2015-11-09 09:46,2015-11-09 09:46:00,1.73,2015-11-09 10:00:00,0.04,0.3500000000000001,5,0.4699999999999997
BDC,2015-11-09 09:48,2015-11-09 09:48:00,1.77,2015-11-09 10:00:00,0.04,0.3900000000000001,5,0.5099999999999997
BDC,2015-11-09 09:52,2015-11-09 09:52:00,1.85,2015-11-09 10:00:00,0.08,0.4700000000000002,5,0.5899999999999997
BDC,2015-11-09 11:41,2015-11-09 11:41:00,1.93,2015-11-09 12:00:00,0.0799999999999998,0.55,5,0.6699999999999995
BDC,2015-11-09 11:52,2015-11-09 11:52:00,1.93,2015-11-09 12:00:00,0.0,0.55,5,0.6699999999999995
BDC,2015-11-09 20:12,2015-11-09 20:12:00,1.97,2015-11-09 20:00:00,0.04,0.5900000000000001,5,0.7099999999999995
BDC,2015-11-09 20:14,2015-11-09 20:14:00,2.01,2015-11-09 20:00:00,0.0399999999999998,0.6299999999999999,5,0.7499999999999993
BDC,2015-11-09 23:52,2015-11-09 23:52:00,2.01,2015-11-10 00:00:00,0.0,0.6299999999999999,5,0.7499999999999993
BDC,2015-11-10 01:06,2015-11-10 01:06:00,2.05,2015-11-10 01:00:00,0.04,0.04,5,0.7899999999999994
BDC,2015-11-10 11:52,2015-11-10 11:52:00,2.05,2015-11-10 12:00:00,0.0,0.04,5,0.7899999999999994
BDC,2015-11-14 11:53,2015-11-14 11:53:00,2.05,2015-11-14 12:00:00,0.0,0.0,6,0.0
BDC,2015-12-21 17:16,2015-11-17 17:00:00,10.39,2015-11-17 17:00:00,0.0,1.7700000000000014,7,0.0
BDC,2015-12-21 17:16,2015-12-21 17:16:00,10.39,2015-12-21 17:00:00,1.7700000000000014,1.7700000000000014,7,1.7700000000000014
BDC,2015-12-22 02:24,2015-12-22 02:24:00,11.93,2015-12-22 02:00:00,1.5399999999999991,1.5399999999999991,7,3.3100000000000005
BDC,2015-12-22 02:47,2015-12-22 02:47:00,12.01,2015-12-22 03:00:00,0.08,1.6199999999999992,7,3.3900000000000006
BDC,2015-12-22 04:07,2015-12-22 04:07:00,12.32,2015-12-22 04:00:00,0.3100000000000005,1.93,7,3.700000000000001
BDC,2015-12-22 05:38,2015-12-22 05:38:00,12.64,2015-12-22 06:00:00,0.3200000000000003,2.25,7,4.020000000000001
BDC,2015-12-22 06:04,2015-12-22 06:04:00,12.72,2015-12-22 06:00:00,0.08,2.33,7,4.100000000000001
BDC,2015-12-22 06:19,2015-12-22 06:19:00,12.76,2015-12-22 06:00:00,0.0399999999999991,2.369999999999999,7,4.140000000000001
BDC,2015-12-22 06:53,2015-12-22 06:53:00,12.83,2015-12-22 07:00:00,0.0700000000000002,2.4399999999999995,7,4.210000000000001
BDC,2015-12-22 08:51,2015-12-22 08:51:00,13.07,2015-12-22 09:00:00,0.2400000000000002,2.68,7,4.450000000000001
BDC,2015-12-22 09:45,2015-12-22 09:45:00,13.11,2015-12-22 10:00:00,0.0399999999999991,2.719999999999999,7,4.49
BDC,2015-12-22 23:53,2015-12-22 23:53:00,13.19,2015-12-23 00:00:00,0.08,2.799999999999999,7,4.57
BDC,2015-12-24 08:54,2015-12-24 08:54:00,13.31,2015-12-24 09:00:00,0.120000000000001,0.120000000000001,7,4.690000000000001
BDC,2015-12-24 15:52,2015-12-24 15:52:00,13.43,2015-12-24 16:00:00,0.1199999999999992,0.2400000000000002,7,4.8100000000000005
BDC,2015-12-26 11:53,2015-12-26 11:53:00,13.54,2015-12-26 12:00:00,0.1099999999999994,0.1099999999999994,7,4.92
BDC,2016-01-21 23:54,2015-12-30 00:00:00,26.02,2015-12-30 00:00:00,0.0,0.0,8,0.0
BDC,2016-01-21 23:54,2016-01-21 23:54:00,26.02,2016-01-22 00:00:00,0.0,0.0,8,0.0
BDC,2016-01-22 03:48,2016-01-22 03:48:00,26.1,2016-01-22 04:00:00,0.0800000000000018,0.0800000000000018,8,0.0800000000000018
BDC,2016-01-22 04:13,2016-01-22 04:13:00,26.14,2016-01-22 04:00:00,0.0399999999999991,0.120000000000001,8,0.12000000000000091
BDC,2016-01-22 04:42,2016-01-22 04:42:00,26.18,2016-01-22 05:00:00,0.0399999999999991,0.1600000000000001,8,0.16
BDC,2016-01-22 05:12,2016-01-22 05:12:00,26.26,2016-01-22 05:00:00,0.0800000000000018,0.240000000000002,8,0.24000000000000182
BDC,2016-01-22 05:28,2016-01-22 05:28:00,26.3,2016-01-22 05:00:00,0.0399999999999991,0.2800000000000011,8,0.2800000000000009
BDC,2016-01-22 05:41,2016-01-22 05:41:00,26.34,2016-01-22 06:00:00,0.0399999999999991,0.3200000000000003,8,0.32
