Rounded Date,Rainfall,OBS DATE,VALUE,Cumulative Daily Rainfall,Total Daily Rainfall
2015-10-16 11:00:00,0.0,2015-10-16 11:08:00,0.0,0.0,0.0
2015-10-16 23:00:00,0.0,2015-10-16 23:08:00,0.0,0.0,0.0
2015-10-17 11:00:00,0.0,2015-10-17 11:08:00,0.0,0.0,0.0
2015-10-17 23:00:00,0.0,2015-10-17 23:08:00,0.0,0.0,0.0
2015-10-18 11:00:00,0.0,2015-10-18 11:08:00,0.0,0.0,0.0
2015-10-18 23:00:00,0.0,2015-10-18 23:08:00,0.0,0.0,0.0
2015-10-19 11:00:00,0.0,2015-10-19 11:08:00,0.0,0.0,0.0
2015-10-19 23:00:00,0.0,2015-10-19 23:08:00,0.0,0.0,0.0
2015-10-20 11:00:00,0.0,2015-10-20 11:08:00,0.0,0.0,0.0
2015-10-20 23:00:00,0.0,2015-10-20 23:08:00,0.0,0.0,0.0
2015-10-21 11:00:00,0.0,2015-10-21 11:08:00,0.0,0.0,0.0
2015-10-21 23:00:00,0.0,2015-10-21 23:08:00,0.0,0.0,0.0
2015-10-23 11:00:00,0.0,2015-10-23 11:08:00,0.0,0.0,0.0
2015-10-24 11:00:00,0.0,2015-10-24 11:08:00,0.0,0.0,0.0
2015-10-24 23:00:00,0.0,2015-10-24 23:08:00,0.0,0.0,0.0
2015-10-25 11:00:00,0.0,2015-10-25 11:08:00,0.0,0.0,0.0
2015-10-26 11:00:00,0.0,2015-10-26 11:08:00,0.0,0.0,0.0
2015-10-26 23:00:00,0.0,2015-10-26 23:08:00,0.0,0.0,0.0
2015-10-27 23:00:00,0.0,2015-10-27 23:08:00,0.0,0.0,0.0
2015-10-28 11:00:00,0.0,2015-10-28 11:08:00,0.0,0.0,0.0
2015-10-28 23:00:00,0.0,2015-10-28 23:08:00,0.0,0.0,0.0
2015-10-29 11:00:00,0.0,2015-10-29 11:08:00,0.0,0.0,0.0
2015-10-29 23:00:00,0.0,2015-10-29 23:08:00,0.0,0.0,0.0
2015-10-30 23:00:00,0.0,2015-10-30 23:08:00,0.0,0.0,0.0
2015-10-31 11:00:00,0.0,2015-10-31 11:08:00,0.0,0.0,0.0
2015-10-31 23:00:00,0.0,2015-10-31 23:08:00,0.0,0.0,0.0
2015-11-01 22:00:00,0.0,2015-11-01 22:08:00,0.0,0.0,0.0
2015-11-02 02:00:00,0.04,2015-11-02 02:19:00,0.04,0.04,0.43
2015-11-02 03:00:00,0.12,2015-11-02 02:37:00,0.08,0.16,0.43
2015-11-02 04:00:00,0.04000000000000001,2015-11-02 03:57:00,0.2,0.2,0.43
2015-11-02 05:00:00,0.08000000000000002,2015-11-02 04:32:00,0.24,0.28,0.43
2015-11-02 06:00:00,0.02999999999999997,2015-11-02 06:10:00,0.31,0.31,0.43
2015-11-02 08:00:00,0.03999999999999998,2015-11-02 07:45:00,0.35,0.35,0.43
2015-11-02 09:00:00,0.040000000000000036,2015-11-02 08:38:00,0.39,0.39,0.43
2015-11-02 10:00:00,0.03999999999999998,2015-11-02 09:55:00,0.43,0.43,0.43
2015-11-02 22:00:00,0.0,2015-11-02 22:08:00,0.43,0.43,0.43
2015-11-03 10:00:00,0.0,2015-11-03 10:08:00,0.43,0.0,0.0
2015-11-03 22:00:00,0.0,2015-11-03 22:08:00,0.43,0.0,0.0
2015-11-04 10:00:00,0.0,2015-11-04 10:08:00,0.43,0.0,0.0
2015-11-04 22:00:00,0.0,2015-11-04 22:08:00,0.43,0.0,0.0
2015-11-05 10:00:00,0.0,2015-11-05 10:08:00,0.43,0.0,0.0
