Station,Rainfall Type,Lag,Metric,Correlation
BCD,Daily,0,Gage Height,0.40084817675173484
BCD,Daily,0,Discharge,0.24117629435122437
BCD,Event,0,Gage Height,0.07503036061172792
BCD,Event,0,Discharge,0.03919617330499011
BCD,Daily,2,Gage Height,0.4304724319881247
BCD,Daily,2,Discharge,0.2798727945465809
BCD,Event,2,Gage Height,0.08840060548748935
BCD,Event,2,Discharge,0.04626220275393268
BCD,Daily,4,Gage Height,0.44002072153602656
BCD,Daily,4,Discharge,0.31489163707597423
BCD,Event,4,Gage Height,0.09759345501329142
BCD,Event,4,Discharge,0.0521328630291287
BCD,Daily,6,Gage Height,0.43069842259987023
BCD,Daily,6,Discharge,0.3410381953021008
BCD,Event,6,Gage Height,0.09968313450021822
BCD,Event,6,Discharge,0.05553544059140254
BCD,Daily,12,Gage Height,0.3660175916950238
BCD,Daily,12,Discharge,0.4374388266091998
BCD,Event,12,Gage Height,0.0896583523517719
BCD,Event,12,Discharge,0.07597238599024414
BLN,Daily,0,Gage Height,0.4037470414331884
BLN,Daily,0,Discharge,0.24710277068105282
BLN,Event,0,Gage Height,0.25098479016989395
BLN,Event,0,Discharge,0.12496758774851054
BLN,Daily,2,Gage Height,0.4327144371684643
BLN,Daily,2,Discharge,0.27757234075736503
BLN,Event,2,Gage Height,0.30189650257429446
BLN,Event,2,Discharge,0.1427078538704302
BLN,Daily,4,Gage Height,0.43938345997869566
BLN,Daily,4,Discharge,0.2971017388394433
BLN,Event,4,Gage Height,0.3346051760426921
BLN,Event,4,Discharge,0.15684779226589998
BLN,Daily,6,Gage Height,0.4285164727194332
BLN,Daily,6,Discharge,0.3187709419286382
BLN,Event,6,Gage Height,0.3423190420629885
BLN,Event,6,Discharge,0.16677037865145022
BLN,Daily,12,Gage Height,0.366467188018467
BLN,Daily,12,Discharge,0.4371985971965369
BLN,Event,12,Gage Height,0.30454406605752327
BLN,Event,12,Discharge,0.24927636441435855
SCH,Daily,0,Gage Height,0.4037470414331884
SCH,Daily,0,Discharge,0.24710277068105282
SCH,Event,0,Gage Height,0.25098479016989395
SCH,Event,0,Discharge,0.12496758774851054
SCH,Daily,2,Gage Height,0.4327144371684643
SCH,Daily,2,Discharge,0.27757234075736503
SCH,Event,2,Gage Height,0.30189650257429446
SCH,Event,2,Discharge,0.1427078538704302
SCH,Daily,4,Gage Height,0.43938345997869566
SCH,Daily,4,Discharge,0.2971017388394433
SCH,Event,4,Gage Height,0.3346051760426921
SCH,Event,4,Discharge,0.15684779226589998
SCH,Daily,6,Gage Height,0.4285164727194332
SCH,Daily,6,Discharge,0.3187709419286382
SCH,Event,6,Gage Height,0.3423190420629885
SCH,Event,6,Discharge,0.16677037865145022
SCH,Daily,12,Gage Height,0.366467188018467
SCH,Daily,12,Discharge,0.4371985971965369
SCH,Event,12,Gage Height,0.30454406605752327
SCH,Event,12,Discharge,0.24927636441435855
BLO,Daily,0,Gage Height,0.5487489710024819
BLO,Daily,0,Discharge,0.37734141374959246
BLO,Event,0,Gage Height,0.6110242388812722
BLO,Event,0,Discharge,0.5242843838578024
BLO,Daily,2,Gage Height,0.5616104746214383
BLO,Daily,2,Discharge,0.4306602693519121
BLO,Event,2,Gage Height,0.6076492163922271
BLO,Event,2,Discharge,0.5247910333017272
BLO,Daily,4,Gage Height,0.5582371298503169
BLO,Daily,4,Discharge,0.47027275353677744
BLO,Event,4,Gage Height,0.6021973214721615
BLO,Event,4,Discharge,0.5243858364678252
BLO,Daily,6,Gage Height,0.5435811087707714
BLO,Daily,6,Discharge,0.5020579671605111
BLO,Event,6,Gage Height,0.5953153114852152
BLO,Event,6,Discharge,0.5228825921717425
BLO,Daily,12,Gage Height,0.4835478388722508
BLO,Daily,12,Discharge,0.5498089402671057
BLO,Event,12,Gage Height,0.573249854527988
BLO,Event,12,Discharge,0.5129009120765412
