fid,Named,Longitude,Latitude
1,Yes,-122.012438,36.963475
1,Yes,-122.012306,36.964155
1,Yes,-122.012412,36.964781
1,Yes,-122.012655,36.965448
1,Yes,-122.012909,36.966131
1,Yes,-122.013280,36.966930
1,Yes,-122.013676,36.967428
1,Yes,-122.013911,36.967607
1,Yes,-122.014019,36.967688
1,Yes,-122.014174,36.967806
1,Yes,-122.014751,36.967925
1,Yes,-122.015690,36.967963
1,Yes,-122.016589,36.968026
1,Yes,-122.017302,36.968052
1,Yes,-122.017302,36.968052
1,Yes,-122.017780,36.968069
1,Yes,-122.018364,36.968070
1,Yes,-122.019125,36.968030
1,Yes,-122.020441,36.968093
1,Yes,-122.021237,36.968242
1,Yes,-122.022093,36.968750
1,Yes,-122.022393,36.969115
1,Yes,-122.022685,36.969630
1,Yes,-122.022872,36.970113
1,Yes,-122.022968,36.970706
1,Yes,-122.023174,36.971805
1,Yes,-122.023174,36.971805
1,Yes,-122.023178,36.971826
1,Yes,-122.023186,36.972738
1,Yes,-122.023033,36.973402
1,Yes,-122.022961,36.973999
1,Yes,-122.022952,36.974073
1,Yes,-122.022989,36.974412
1,Yes,-122.023062,36.974979
1,Yes,-122.023085,36.975238
1,Yes,-122.023217,36.975713
1,Yes,-122.023364,36.976068
1,Yes,-122.024346,36.977990
1,Yes,-122.024661,36.978435
1,Yes,-122.024845,36.978750
1,Yes,-122.024845,36.978750
1,Yes,-122.025050,36.979103
1,Yes,-122.025543,36.980106
1,Yes,-122.025825,36.980684
1,Yes,-122.026000,36.981130
1,Yes,-122.026466,36.982127
1,Yes,-122.026659,36.982566
1,Yes,-122.026916,36.983086
1,Yes,-122.027041,36.983339
1,Yes,-122.027207,36.983736
1,Yes,-122.027453,36.984245
1,Yes,-122.027591,36.984580
1,Yes,-122.027684,36.984852
1,Yes,-122.027803,36.985166
1,Yes,-122.027811,36.985202
1,Yes,-122.027857,36.985408
1,Yes,-122.027892,36.985565
1,Yes,-122.027892,36.985565
1,Yes,-122.027970,36.985911
1,Yes,-122.028021,36.986222
1,Yes,-122.028175,36.986595
1,Yes,-122.028492,36.987024
1,Yes,-122.028815,36.987567
1,Yes,-122.028880,36.987673
1,Yes,-122.028931,36.987785
1,Yes,-122.028956,36.987886
1,Yes,-122.028958,36.987976
1,Yes,-122.028934,36.988054
1,Yes,-122.028884,36.988147
1,Yes,-122.028861,36.988309
1,Yes,-122.028881,36.988415
1,Yes,-122.028932,36.988557
1,Yes,-122.028986,36.988676
1,Yes,-122.029015,36.988802
1,Yes,-122.029067,36.988951
1,Yes,-122.029112,36.989071
1,Yes,-122.029186,36.989205
1,Yes,-122.029199,36.989229
1,Yes,-122.029246,36.989293
1,Yes,-122.029316,36.989354
1,Yes,-122.029437,36.989477
1,Yes,-122.029553,36.989683
1,Yes,-122.029700,36.989842
1,Yes,-122.029774,36.989931
1,Yes,-122.029880,36.990061
1,Yes,-122.030033,36.990255
1,Yes,-122.030256,36.990473
1,Yes,-122.030462,36.990587
1,Yes,-122.030524,36.990630
1,Yes,-122.030781,36.990736
1,Yes,-122.031027,36.990809
1,Yes,-122.031270,36.990905
1,Yes,-122.031499,36.991001
1,Yes,-122.031616,36.991103
1,Yes,-122.031682,36.991195
1,Yes,-122.031741,36.991305
1,Yes,-122.031813,36.991424
1,Yes,-122.031857,36.991494
1,Yes,-122.031975,36.991589
1,Yes,-122.031975,36.991589
1,Yes,-122.032009,36.991617
1,Yes,-122.032175,36.991730
1,Yes,-122.032477,36.991848
1,Yes,-122.032660,36.991921
1,Yes,-122.032675,36.991940
1,Yes,-122.032745,36.992032
1,Yes,-122.032795,36.992163
1,Yes,-122.032855,36.992479
1,Yes,-122.032867,36.992583
1,Yes,-122.032867,36.992815
1,Yes,-122.032891,36.993051
1,Yes,-122.032916,36.993364
1,Yes,-122.033039,36.993691
1,Yes,-122.033150,36.994173
1,Yes,-122.033188,36.994396
1,Yes,-122.033251,36.994670
1,Yes,-122.033348,36.994916
1,Yes,-122.033447,36.995054
1,Yes,-122.033586,36.995238
1,Yes,-122.033705,36.995383
1,Yes,-122.033892,36.995574
1,Yes,-122.034853,36.996153
1,Yes,-122.035097,36.996289
1,Yes,-122.035282,36.996371
1,Yes,-122.035485,36.996438
1,Yes,-122.035828,36.996480
1,Yes,-122.036181,36.996502
1,Yes,-122.036408,36.996550
1,Yes,-122.036646,36.996628
1,Yes,-122.036797,36.996734
1,Yes,-122.036858,36.996798
1,Yes,-122.036858,36.996798
1,Yes,-122.036919,36.996863
1,Yes,-122.036916,36.996895
1,Yes,-122.036907,36.996986
1,Yes,-122.036857,36.997281
1,Yes,-122.036832,36.997418
1,Yes,-122.036803,36.997611
1,Yes,-122.036728,36.997902
1,Yes,-122.036708,36.997988
1,Yes,-122.036662,36.998138
1,Yes,-122.036578,36.998420
1,Yes,-122.036564,36.998554
1,Yes,-122.036473,36.998851
1,Yes,-122.036432,36.998938
1,Yes,-122.036373,36.999067
1,Yes,-122.036297,36.999226
1,Yes,-122.036277,36.999320
1,Yes,-122.036190,36.999626
1,Yes,-122.036168,36.999838
1,Yes,-122.036144,36.999981
1,Yes,-122.036143,37.000217
1,Yes,-122.036125,37.000478
1,Yes,-122.036080,37.000623
1,Yes,-122.036050,37.000778
1,Yes,-122.036052,37.000969
1,Yes,-122.036087,37.001080
1,Yes,-122.036210,37.001380
1,Yes,-122.036314,37.001509
1,Yes,-122.036407,37.001626
1,Yes,-122.036592,37.001884
1,Yes,-122.036774,37.002101
1,Yes,-122.036837,37.002161
1,Yes,-122.036997,37.002289
1,Yes,-122.037137,37.002439
1,Yes,-122.037425,37.002774
1,Yes,-122.037626,37.002955
1,Yes,-122.037967,37.003157
1,Yes,-122.038246,37.003301
1,Yes,-122.038246,37.003301
1,Yes,-122.038444,37.003403
1,Yes,-122.038591,37.003522
1,Yes,-122.038876,37.003733
1,Yes,-122.039196,37.003981
1,Yes,-122.039377,37.004142
1,Yes,-122.039504,37.004267
1,Yes,-122.039761,37.004463
1,Yes,-122.039900,37.004549
1,Yes,-122.039976,37.004592
1,Yes,-122.040487,37.004832
1,Yes,-122.040605,37.004891
1,Yes,-122.040778,37.004979
1,Yes,-122.040889,37.005063
1,Yes,-122.041139,37.005203
1,Yes,-122.041268,37.005295
1,Yes,-122.041460,37.005444
1,Yes,-122.041599,37.005587
1,Yes,-122.041646,37.005694
1,Yes,-122.041657,37.005816
1,Yes,-122.041628,37.005993
1,Yes,-122.041610,37.006078
1,Yes,-122.041592,37.006211
1,Yes,-122.041562,37.006311
1,Yes,-122.041490,37.006389
1,Yes,-122.041394,37.006475
1,Yes,-122.041268,37.006570
1,Yes,-122.041166,37.006630
1,Yes,-122.041077,37.006683
1,Yes,-122.040918,37.006771
1,Yes,-122.040738,37.006867
1,Yes,-122.040641,37.006915
1,Yes,-122.040510,37.006990
1,Yes,-122.040434,37.007058
1,Yes,-122.040387,37.007132
1,Yes,-122.040338,37.007219
1,Yes,-122.040332,37.007268
1,Yes,-122.040327,37.007340
1,Yes,-122.040315,37.007417
1,Yes,-122.040303,37.007486
1,Yes,-122.040290,37.007530
1,Yes,-122.040273,37.007588
1,Yes,-122.040255,37.007676
1,Yes,-122.040240,37.007767
1,Yes,-122.040241,37.007832
1,Yes,-122.040250,37.007920
1,Yes,-122.040251,37.007931
1,Yes,-122.040280,37.008010
1,Yes,-122.040297,37.008086
1,Yes,-122.040373,37.008147
1,Yes,-122.040453,37.008170
1,Yes,-122.040671,37.008226
1,Yes,-122.040972,37.008299
1,Yes,-122.041134,37.008319
1,Yes,-122.041134,37.008319
1,Yes,-122.041275,37.008335
1,Yes,-122.041797,37.008384
1,Yes,-122.041952,37.008393
1,Yes,-122.042042,37.008387
1,Yes,-122.042190,37.008370
1,Yes,-122.042314,37.008368
1,Yes,-122.042499,37.008382
1,Yes,-122.042636,37.008380
1,Yes,-122.043025,37.008351
1,Yes,-122.043113,37.008337
1,Yes,-122.043140,37.008333
1,Yes,-122.043395,37.008328
1,Yes,-122.043686,37.008334
1,Yes,-122.044206,37.008347
1,Yes,-122.044355,37.008374
1,Yes,-122.044456,37.008399
1,Yes,-122.044539,37.008422
1,Yes,-122.044623,37.008456
1,Yes,-122.044695,37.008509
1,Yes,-122.044753,37.008569
1,Yes,-122.044807,37.008682
1,Yes,-122.044809,37.008693
1,Yes,-122.044847,37.008886
1,Yes,-122.044832,37.009011
1,Yes,-122.044794,37.009129
1,Yes,-122.044769,37.009230
1,Yes,-122.044718,37.009321
1,Yes,-122.044524,37.009613
1,Yes,-122.044351,37.009898
1,Yes,-122.044213,37.010123
1,Yes,-122.044049,37.010465
1,Yes,-122.043937,37.010594
1,Yes,-122.043875,37.010671
1,Yes,-122.043792,37.010774
1,Yes,-122.043721,37.010860
1,Yes,-122.043641,37.010944
1,Yes,-122.043567,37.011016
1,Yes,-122.043334,37.011245
1,Yes,-122.043265,37.011328
1,Yes,-122.043201,37.011387
1,Yes,-122.043126,37.011462
1,Yes,-122.043021,37.011542
1,Yes,-122.042846,37.011648
1,Yes,-122.042729,37.011745
1,Yes,-122.042660,37.011845
1,Yes,-122.042583,37.011972
1,Yes,-122.042555,37.012079
1,Yes,-122.042537,37.012208
1,Yes,-122.042540,37.012270
1,Yes,-122.042540,37.012270
1,Yes,-122.042542,37.012310
1,Yes,-122.042577,37.012414
1,Yes,-122.042675,37.012578
1,Yes,-122.042846,37.012697
1,Yes,-122.043041,37.012813
1,Yes,-122.043251,37.012899
1,Yes,-122.043367,37.012947
1,Yes,-122.043683,37.013015
