,Total_Cumulative_Event_Rainfall,Total_Cumulative_Event_Rainfall,Total_Cumulative_Event_Rainfall,Total_Cumulative_Event_Rainfall,pre_peak_cumulative_rain,pre_peak_cumulative_rain,pre_peak_cumulative_rain,pre_peak_cumulative_rain,post_peak_cumulative_rain,post_peak_cumulative_rain,post_peak_cumulative_rain,post_peak_cumulative_rain,pre_peak_intensity,pre_peak_intensity,pre_peak_intensity,pre_peak_intensity,post_peak_intensity,post_peak_intensity,post_peak_intensity,post_peak_intensity
,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std
new_event,,,,,,,,,,,,,,,,,,,,
9970,0.0033333333333332,1.6241666666666663,0.9583611111111111,0.4265097288449556,0.0,1.6241666666666663,0.909218253968254,0.5029624499510202,0.0033333333333332,1.6241666666666663,0.9583611111111111,0.4265097288449556,-0.0,1.6241666666666663,0.909218253968254,0.5029624499510202,0.0016666666666666,0.021282051282051264,0.010354360983104998,0.0031975802560771684
14876,0.0941666666666665,0.7883333333333326,0.48097756410256387,0.24018951991718102,0.0,0.7883333333333326,0.36230769230769216,0.3407354444734154,0.0941666666666665,0.7883333333333326,0.48097756410256387,0.24018951991718102,-0.0,0.7883333333333326,0.36230769230769216,0.3407354444734154,0.012565359477124179,0.0966666666666674,0.021582587769339318,0.012407501452354901
15107,0.0308333333333337,0.6383333333333336,0.36756535947712426,0.24811085353668338,0.0,0.6383333333333336,0.26632352941176474,0.3089778028916294,0.0308333333333337,0.6383333333333336,0.36756535947712426,0.24811085353668338,-0.0,0.6383333333333336,0.26632352941176474,0.3089778028916294,0.006428571428571415,0.0308333333333339,0.013552817679495207,0.0047823281583602465
15144,0.0266666666666666,1.281666666666667,0.8147002398081532,0.362122242051421,0.0,1.276666666666666,0.41619304556354914,0.5663008023440407,0.0266666666666666,1.281666666666667,0.8147002398081532,0.362122242051421,-0.0,1.276666666666666,0.41619304556354914,0.5663008023440407,0.008665458937198067,0.0266666666666666,0.013446077921821557,0.0034703285416503972
15171,0.0358333333333333,0.8149999999999993,0.4952926208651396,0.22726358815411912,0.0,0.8149999999999993,0.2345292620865139,0.35530898884766043,0.0358333333333333,0.8149999999999993,0.4952926208651396,0.22726358815411912,-0.0,0.8149999999999993,0.2345292620865139,0.35530898884766043,0.00592948717948718,0.0358333333333333,0.009511861578745121,0.005363764427440888
15360,0.0208333333333333,1.5091666666666663,0.7873171589310828,0.5046132710223685,0.0,1.5091666666666663,0.5968319268635723,0.6575873841868505,0.0208333333333333,1.5091666666666663,0.7873171589310828,0.5046132710223685,-0.0,1.5091666666666663,0.5968319268635723,0.6575873841868505,0.003980392156862747,0.0208333333333333,0.0068333385747189985,0.002020716744553737
15451,0.0,1.0383333333333329,0.5575351405622485,0.32669764273370266,0.0,1.0383333333333329,0.29923694779116455,0.44454939174100117,0.0,1.0383333333333329,0.5575351405622485,0.32669764273370266,-0.0,1.0383333333333329,0.29923694779116455,0.44454939174100117,0.0,0.020833333333333325,0.007103784447204981,0.002529373278894573
28283,0.0474999999999997,1.304999999999999,0.6874476439790574,0.33030600758679635,0.0,1.304999999999999,0.15625218150087258,0.41335126477043854,0.0474999999999997,1.304999999999999,0.6874476439790574,0.33030600758679635,-0.0,1.304999999999999,0.15625218150087258,0.41335126477043854,0.0057083333333333205,0.0474999999999997,0.008584860045718196,0.004393847534200042
28515,0.0433333333333335,1.8058333333333327,1.050928338762215,0.5326646283752132,0.0,1.8058333333333327,0.5686889250814332,0.8042656269905931,0.0433333333333335,1.8058333333333327,1.050928338762215,0.5326646283752132,-0.0,1.8058333333333327,0.5686889250814332,0.8042656269905931,0.0038725490196078356,0.0433333333333335,0.007611657471259648,0.0029762469857079073
45793,0.0416666666666666,1.1808333333333336,0.8188541666666668,0.2753995133557436,0.0,1.1808333333333336,0.7278525641025642,0.40562254369613954,0.0416666666666666,1.1808333333333336,0.8188541666666668,0.2753995133557436,-0.0,1.1808333333333336,0.7278525641025642,0.40562254369613954,0.010776699029126214,0.0416666666666666,0.020300483761015724,0.008945612811312717
52376,0.0066666666666664,1.7624999999999995,1.052094696969697,0.4981811506884084,0.0,1.7624999999999995,0.8103219696969698,0.728037510495958,0.0066666666666664,1.7624999999999995,1.052094696969697,0.4981811506884084,-0.0,1.7624999999999995,0.8103219696969698,0.728037510495958,3.0441400304412785e-05,0.05583333333333337,0.012579184649931663,0.00911848955370338
52394,0.0,3.1183333333333327,2.580042598509052,0.4711139801160097,0.0,3.1183333333333327,2.2544675186368477,1.091879346784133,0.0,3.1183333333333327,2.580042598509052,0.4711139801160097,-0.0,3.1183333333333327,2.2544675186368477,1.091879346784133,0.0,0.8483333333333332,0.03465047104679418,0.0703562624962382
52985,0.0033333333333332,1.2191666666666665,0.5764118895966023,0.31608118477782216,0.0,1.2191666666666665,0.5378609341825895,0.3619899923688356,0.0033333333333332,1.2191666666666665,0.5764118895966023,0.31608118477782216,-0.0,1.2191666666666665,0.5378609341825895,0.3619899923688356,2.1367521367520514e-05,0.0516666666666664,0.0077990803659104034,0.004417969089377508
58218,0.0308333333333331,0.8858333333333335,0.6051374999999998,0.1971447461428837,0.0,0.8858333333333335,0.41193749999999996,0.38635499714433297,0.0308333333333331,0.8858333333333335,0.6051374999999998,0.1971447461428837,-0.0,0.8858333333333335,0.41193749999999996,0.38635499714433297,0.004145728643216081,0.039270833333333276,0.009024774556165294,0.007239182261518461
