OBS DATE
2014-10-15 20:00:00
2014-10-15 21:00:00
2014-10-15 22:00:00
2014-10-15 23:00:00
2014-10-16 00:00:00
2014-10-16 01:00:00
2014-10-16 02:00:00
2014-10-16 03:00:00
2014-10-16 04:00:00
2014-10-16 05:00:00
2014-10-16 06:00:00
2014-10-16 07:00:00
2014-10-16 08:00:00
2014-10-16 09:00:00
2014-10-16 10:00:00
2014-10-16 11:00:00
2014-10-16 12:00:00
2014-10-16 13:00:00
2014-10-16 14:00:00
2014-10-16 15:00:00
2014-10-16 16:00:00
2014-10-16 17:00:00
2014-10-16 18:00:00
2014-10-16 19:00:00
2014-10-16 20:00:00
2014-10-16 21:00:00
2014-10-16 22:00:00
2014-10-16 23:00:00
2014-10-17 00:00:00
2014-10-17 01:00:00
2014-10-17 02:00:00
2014-10-17 03:00:00
2014-10-17 04:00:00
2014-10-17 05:00:00
2014-10-17 06:00:00
2014-10-17 07:00:00
2014-10-17 08:00:00
2014-11-02 22:00:00
2014-12-16 21:00:00
2015-01-12 11:00:00
2015-02-22 09:00:00
2015-03-08 01:00:00
2015-03-19 11:00:00
2015-03-19 12:00:00
2015-03-19 13:00:00
2015-03-19 14:00:00
2015-03-19 15:00:00
2015-03-19 16:00:00
2015-03-19 17:00:00
2015-03-19 18:00:00
2015-03-19 19:00:00
2015-03-19 20:00:00
2015-03-19 21:00:00
2015-03-19 22:00:00
2015-09-16 10:00:00
2015-11-02 12:00:00
2016-01-10 06:00:00
2016-02-05 09:00:00
2016-02-05 10:00:00
2016-03-13 03:00:00
2016-09-02 08:00:00
2016-09-15 13:00:00
2017-01-03 13:00:00
2017-02-09 10:00:00
2017-03-12 03:00:00
2017-04-02 10:00:00
2017-06-04 00:00:00
2017-07-05 16:00:00
2017-07-07 10:00:00
2017-08-22 11:00:00
2017-08-22 12:00:00
2017-08-23 05:00:00
2017-08-23 07:00:00
2017-09-01 14:00:00
2018-03-11 03:00:00
2018-04-01 10:00:00
2018-07-04 21:00:00
2018-07-05 22:00:00
2018-07-05 23:00:00
2018-07-08 00:00:00
2018-07-08 01:00:00
2018-07-08 02:00:00
2018-07-08 03:00:00
2018-08-03 09:00:00
2019-03-10 03:00:00
2019-08-09 13:00:00
2019-08-09 14:00:00
2020-01-20 19:00:00
2020-03-08 03:00:00
2020-03-16 06:00:00
2020-08-13 11:00:00
2020-08-14 16:00:00
2021-03-11 01:00:00
2021-03-11 02:00:00
2021-03-11 03:00:00
2021-03-11 04:00:00
2021-03-14 03:00:00
2021-04-18 01:00:00
2021-04-18 03:00:00
2021-04-18 04:00:00
2021-04-18 05:00:00
2021-04-18 06:00:00
2021-04-18 07:00:00
2021-04-18 08:00:00
2021-04-18 09:00:00
2021-07-21 22:00:00
2021-07-21 23:00:00
2021-07-22 00:00:00
2021-07-22 01:00:00
2021-07-22 02:00:00
2021-07-22 03:00:00
2021-07-22 04:00:00
2021-07-22 05:00:00
2021-07-22 06:00:00
2021-07-22 07:00:00
2021-07-22 08:00:00
2021-07-22 09:00:00
2021-07-22 10:00:00
2021-07-22 11:00:00
2021-07-22 12:00:00
2021-07-22 13:00:00
2021-07-22 14:00:00
2021-07-22 15:00:00
2021-07-22 16:00:00
2021-07-22 17:00:00
2021-07-22 18:00:00
2021-07-22 19:00:00
2021-07-22 20:00:00
2021-07-22 21:00:00
2021-07-22 22:00:00
2021-07-22 23:00:00
2021-07-23 00:00:00
2021-07-23 01:00:00
2021-07-23 02:00:00
2021-07-23 03:00:00
2021-07-23 04:00:00
2021-07-23 05:00:00
2021-07-23 06:00:00
2021-07-23 07:00:00
2021-12-09 15:00:00
2022-01-07 04:00:00
2022-01-10 19:00:00
2022-02-24 17:00:00
2022-02-24 18:00:00
2022-03-13 03:00:00
2022-08-07 13:00:00
2022-10-06 17:00:00
2022-10-27 16:00:00
2022-10-27 17:00:00
2022-10-27 18:00:00
2022-10-31 17:00:00
2022-12-01 10:00:00
2022-12-01 17:00:00
2023-02-24 05:00:00
2023-02-24 08:00:00
2023-02-24 09:00:00
2023-03-12 03:00:00
2023-05-25 16:00:00
2023-05-25 17:00:00
2023-05-25 18:00:00
2023-06-29 17:00:00
2023-07-21 14:00:00
2023-07-21 15:00:00
2023-07-21 16:00:00
2023-09-18 01:00:00
2023-09-18 02:00:00
2023-09-18 03:00:00
2023-09-18 04:00:00
2023-09-18 05:00:00
2023-09-18 06:00:00
2023-09-18 07:00:00
2023-09-18 08:00:00
2023-09-18 09:00:00
2023-09-18 10:00:00
2023-09-18 11:00:00
2023-09-18 12:00:00
2023-11-22 04:00:00
2023-11-22 05:00:00
2023-11-22 06:00:00
2023-11-22 07:00:00
2023-11-22 08:00:00
2023-11-22 09:00:00
2023-11-22 10:00:00
2023-12-06 22:00:00
2023-12-06 23:00:00
2023-12-07 00:00:00
2023-12-07 01:00:00
2023-12-07 02:00:00
2023-12-07 03:00:00
2023-12-07 04:00:00
2023-12-07 05:00:00
2023-12-07 07:00:00
2023-12-07 14:00:00
2023-12-07 15:00:00
2023-12-07 16:00:00
2023-12-07 21:00:00
2023-12-08 06:00:00
2023-12-08 07:00:00
2023-12-08 11:00:00
2023-12-08 13:00:00
2023-12-08 14:00:00
2023-12-09 02:00:00
2023-12-09 03:00:00
2023-12-09 04:00:00
2023-12-09 05:00:00
2023-12-09 06:00:00
2023-12-09 07:00:00
2023-12-09 08:00:00
2023-12-09 09:00:00
2023-12-09 10:00:00
2023-12-09 11:00:00
2024-01-03 13:00:00
2024-01-03 14:00:00
2024-01-03 15:00:00
2024-01-03 16:00:00
2024-01-30 07:00:00
2024-01-30 08:00:00
2024-01-30 09:00:00
2024-01-30 10:00:00
2024-01-30 11:00:00
2024-01-30 12:00:00
2024-01-30 13:00:00
2024-01-30 18:00:00
2024-01-30 19:00:00
2024-01-30 20:00:00
2024-02-03 16:00:00
2024-02-10 21:00:00
2024-02-11 10:00:00
2024-03-10 03:00:00
2024-04-04 09:00:00
