BCD_Cumulative_Rainfall_per_Event,BLN_Cumulative_Rainfall_per_Event,BLO_Cumulative_Rainfall_per_Event,SCH_Cumulative_Rainfall_per_Event,date_hour,discharge,gage_height,NAVD88 ft,flood_stage,Total_Cumulative_Event_Rainfall,new_event,event_duration,rainfall_intensity,event_hours,is_peak,pre_peak_hours,post_peak_hours,pre_peak_cumulative_rain,post_peak_cumulative_rain,pre_peak_intensity,post_peak_intensity,hourly_rainfall,hourly_rainfall_in_inches,low_rainfall,gage_height_change_5hr,stable_gage_height,stable_and_low_rainfall,flood_category,time_from_start,hour_gap,new_event_corrected,time_from_start_corrected
0.0,0.0099999999999997,0.0008333333333331,0.0099999999999997,2016-03-03 16:00:00,30.8,3.27,233.33,No Flooding,0.0208333333333325,9970,276.0,7.548309178743659e-05,5,False,-1,6,0.0,0.0208333333333325,-0.0,0.003472222222222,0.0199999999999994,0.2399999999999928,False,-0.02,True,False,Minor Flooding,5,0.0,1,0
0.0,0.0,0.0033333333333332,0.0,2016-03-03 22:00:00,31.3,3.28,233.34,No Flooding,0.0033333333333332,9970,276.0,1.2077294685989857e-05,11,False,-1,12,0.0,0.0033333333333332,-0.0,0.0002777777777777,0.0008333333333331,0.0099999999999983,True,-0.1,False,False,Minor Flooding,11,6.0,2,0
0.0,0.0099999999999997,0.0083333333333334,0.0099999999999997,2016-03-04 04:00:00,31.9,3.29,233.35,No Flooding,0.0283333333333327,9970,276.0,0.0001026570048309,17,False,-1,18,0.0,0.0283333333333327,-0.0,0.001574074074074,0.0208333333333325,0.24999999999999,False,0.0100000000000002,True,False,Minor Flooding,17,6.0,3,0
0.0,0.0,0.0191666666666669,0.0,2016-03-04 09:00:00,38.7,3.4,233.46,No Flooding,0.0191666666666669,9970,276.0,6.94444444444453e-05,22,False,-1,23,0.0,0.0191666666666669,-0.0,0.0008333333333333,0.0008333333333336,0.0100000000000043,True,0.1099999999999998,False,False,Minor Flooding,22,5.0,4,0
0.0033333333333332,0.0,0.0316666666666668,0.0,2016-03-04 12:00:00,41.3,3.44,233.5,No Flooding,0.035,9970,276.0,0.0001268115942028,25,False,-1,26,0.0,0.035,-0.0,0.0013461538461538,0.0033333333333333,0.0399999999999996,True,0.1099999999999998,False,False,Minor Flooding,25,3.0,5,0
0.0,0.0033333333333332,0.0441666666666667,0.0033333333333332,2016-03-04 13:00:00,44.8,3.49,233.55,No Flooding,0.0508333333333331,9970,276.0,0.0001841787439613,26,False,-1,27,0.0,0.0508333333333331,-0.0,0.0018827160493827,0.015833333333333,0.1899999999999971,True,0.1500000000000003,False,False,Minor Flooding,26,1.0,5,1
0.0,0.0,0.0733333333333335,0.0,2016-03-04 14:00:00,76.3,3.86,233.92,No Flooding,0.0733333333333335,9970,276.0,0.0002657004830917,27,False,-1,28,0.0,0.0733333333333335,-0.0,0.0026190476190476,0.0225000000000004,0.2700000000000048,False,0.4599999999999999,False,False,Minor Flooding,27,1.0,5,2
0.0,0.0,0.0825000000000001,0.0,2016-03-04 15:00:00,91.1,4.0,234.06,No Flooding,0.0825000000000001,9970,276.0,0.0002989130434782,28,False,-1,29,0.0,0.0825000000000001,-0.0,0.0028448275862069,0.0091666666666666,0.1099999999999992,True,0.6200000000000001,False,False,Minor Flooding,28,1.0,5,3
0.0033333333333335,0.0033333333333332,0.0991666666666664,0.0033333333333332,2016-03-04 16:00:00,106.0,4.13,234.19,No Flooding,0.1091666666666663,9970,276.0,0.0003955314009661,29,False,-1,30,0.0,0.1091666666666663,-0.0,0.0036388888888888,0.0266666666666662,0.3199999999999944,False,0.75,False,False,Minor Flooding,29,1.0,5,4
0.0,0.0,0.1000000000000002,0.0,2016-03-04 17:00:00,97.9,4.06,234.12,No Flooding,0.1000000000000002,9970,276.0,0.0003623188405797,30,False,-1,31,0.0,0.1000000000000002,-0.0,0.0032258064516129,-0.0091666666666661,-0.1099999999999932,True,0.6199999999999997,False,False,Minor Flooding,30,1.0,5,5
0.0033333333333335,0.0066666666666668,0.1025000000000003,0.0066666666666668,2016-03-04 18:00:00,82.4,3.92,233.98,No Flooding,0.1191666666666673,9970,276.0,0.0004317632850241,31,False,-1,32,0.0,0.1191666666666673,-0.0,0.0037239583333333,0.019166666666667,0.2300000000000051,False,0.4299999999999997,False,False,Minor Flooding,31,1.0,5,6
0.0299999999999999,0.0124999999999998,0.1183333333333334,0.0124999999999998,2016-03-04 20:00:00,86.7,3.96,234.02,No Flooding,0.1733333333333329,9970,276.0,0.0006280193236714,33,False,-1,34,0.0,0.1733333333333329,-0.0,0.0050980392156862,0.0516666666666663,0.6199999999999967,False,-0.04,True,False,Minor Flooding,33,2.0,6,0
0.0058333333333333,0.01,0.1241666666666668,0.01,2016-03-04 21:00:00,92.2,4.01,234.07,No Flooding,0.1500000000000001,9970,276.0,0.0005434782608695,34,False,-1,35,0.0,0.1500000000000001,-0.0,0.0042857142857142,-0.0233333333333327,-0.2799999999999935,True,-0.1200000000000001,False,False,Minor Flooding,34,1.0,6,1
0.0166666666666666,0.0066666666666668,0.1374999999999998,0.0066666666666668,2016-03-04 22:00:00,114.0,4.19,234.25,No Flooding,0.1674999999999999,9970,276.0,0.000606884057971,35,False,-1,36,0.0,0.1674999999999999,-0.0,0.0046527777777777,0.0174999999999997,0.2099999999999975,False,0.1300000000000007,False,False,Minor Flooding,35,1.0,6,2
0.0,0.0,0.1433333333333332,0.0,2016-03-04 23:00:00,119.0,4.23,234.29,No Flooding,0.1433333333333332,9970,276.0,0.0005193236714975,36,False,-1,37,0.0,0.1433333333333332,-0.0,0.0038738738738738,-0.0241666666666666,-0.2900000000000003,True,0.3100000000000005,False,False,Minor Flooding,36,1.0,6,3
0.0,0.0,0.1524999999999998,0.0,2016-03-05 00:00:00,134.0,4.36,234.42,No Flooding,0.1524999999999998,9970,276.0,0.000552536231884,37,False,-1,38,0.0,0.1524999999999998,-0.0,0.0040131578947368,0.0091666666666666,0.1099999999999992,True,0.4800000000000004,False,False,Minor Flooding,37,1.0,6,4
0.0066666666666668,0.0099999999999997,0.1800000000000003,0.0099999999999997,2016-03-05 01:00:00,158.0,4.57,234.63,No Flooding,0.2066666666666665,9970,276.0,0.0007487922705314,38,False,-1,39,0.0,0.2066666666666665,-0.0,0.0052991452991452,0.0541666666666666,0.6500000000000004,False,0.6100000000000003,False,False,Minor Flooding,38,1.0,6,5
0.0033333333333332,0.01,0.1974999999999997,0.01,2016-03-05 02:00:00,188.0,4.82,234.88,No Flooding,0.2208333333333329,9970,276.0,0.0008001207729468,39,False,-1,40,0.0,0.2208333333333329,-0.0,0.0055208333333333,0.0141666666666664,0.1699999999999969,True,0.8100000000000005,False,False,Minor Flooding,39,1.0,6,6
0.0033333333333332,0.0033333333333332,0.206666666666667,0.0033333333333332,2016-03-05 03:00:00,230.0,5.11,235.17,No Flooding,0.2166666666666666,9970,276.0,0.0007850241545893,40,False,-1,41,0.0,0.2166666666666666,-0.0,0.0052845528455284,-0.0041666666666663,-0.0499999999999958,True,0.92,False,False,Minor Flooding,40,1.0,6,7
0.0099999999999997,0.0091666666666666,0.2100000000000002,0.0091666666666666,2016-03-05 04:00:00,238.0,5.15,235.21,No Flooding,0.2383333333333331,9970,276.0,0.0008635265700483,41,False,-1,42,0.0,0.2383333333333331,-0.0,0.0056746031746031,0.0216666666666665,0.259999999999998,False,0.92,False,False,Minor Flooding,41,1.0,6,8
0.0100000000000003,0.0133333333333333,0.2133333333333335,0.0133333333333333,2016-03-05 05:00:00,224.0,5.04,235.1,No Flooding,0.2500000000000004,9970,276.0,0.0009057971014492,42,False,-1,43,0.0,0.2500000000000004,-0.0,0.0058139534883721,0.0116666666666672,0.1400000000000075,True,0.6799999999999997,False,False,Minor Flooding,42,1.0,6,9
0.0091666666666666,0.0066666666666668,0.218333333333333,0.0066666666666668,2016-03-05 06:00:00,226.0,5.04,235.1,No Flooding,0.2408333333333331,9970,276.0,0.0008725845410628,43,False,-1,44,0.0,0.2408333333333331,-0.0,0.0054734848484848,-0.0091666666666672,-0.1100000000000075,True,0.4699999999999997,False,False,Minor Flooding,43,1.0,6,10
0.0099999999999997,0.0133333333333333,0.2291666666666666,0.0133333333333333,2016-03-05 07:00:00,267.0,5.28,235.34,No Flooding,0.2658333333333329,9970,276.0,0.0009631642512077,44,False,-1,45,0.0,0.2658333333333329,-0.0,0.0059074074074073,0.0249999999999998,0.2999999999999979,False,0.4599999999999999,False,False,Minor Flooding,44,1.0,6,11
0.0166666666666669,0.0133333333333333,0.2474999999999999,0.0133333333333333,2016-03-05 08:00:00,307.0,5.47,235.53,No Flooding,0.2908333333333334,9970,276.0,0.0010537439613526,45,False,-1,46,0.0,0.2908333333333334,-0.0,0.0063224637681159,0.0250000000000004,0.3000000000000056,False,0.3599999999999994,False,False,Minor Flooding,45,1.0,6,12
0.0066666666666665,0.0091666666666666,0.2758333333333335,0.0091666666666666,2016-03-05 09:00:00,412.0,5.92,235.98,No Flooding,0.3008333333333332,9970,276.0,0.0010899758454106,46,False,-1,47,0.0,0.3008333333333332,-0.0,0.0064007092198581,0.0099999999999997,0.1199999999999974,True,0.7699999999999996,False,False,Minor Flooding,46,1.0,6,13
0.0033333333333332,0.0066666666666665,0.3150000000000001,0.0066666666666665,2016-03-05 10:00:00,563.0,6.34,236.4,No Flooding,0.3316666666666663,9970,276.0,0.001201690821256,47,False,-1,48,0.0,0.3316666666666663,-0.0,0.0069097222222222,0.0308333333333331,0.3699999999999972,False,1.2999999999999998,False,False,Minor Flooding,47,1.0,6,14
0.0033333333333332,0.0,0.3291666666666669,0.0,2016-03-05 11:00:00,679.0,6.61,236.67,No Flooding,0.3325000000000001,9970,276.0,0.0012047101449275,48,False,-1,49,0.0,0.3325000000000001,-0.0,0.0067857142857142,0.0008333333333337,0.0100000000000055,True,1.5700000000000005,False,False,Minor Flooding,48,1.0,6,15
0.0033333333333332,0.0066666666666668,0.3433333333333331,0.0066666666666668,2016-03-05 12:00:00,791.0,6.83,236.89,No Flooding,0.3599999999999999,9970,276.0,0.0013043478260869,49,False,-1,50,0.0,0.3599999999999999,-0.0,0.0071999999999999,0.0274999999999998,0.3299999999999976,False,1.5499999999999998,False,False,Minor Flooding,49,1.0,6,16
0.0025,0.0133333333333333,0.345,0.0133333333333333,2016-03-05 13:00:00,1090.0,7.53,237.59,No Flooding,0.3741666666666666,9970,276.0,0.0013556763285024,50,False,-1,51,0.0,0.3741666666666666,-0.0,0.0073366013071895,0.0141666666666667,0.1700000000000006,True,2.0600000000000005,False,False,Minor Flooding,50,1.0,6,17
0.0033333333333332,0.0066666666666665,0.3733333333333337,0.0066666666666665,2016-03-05 14:00:00,1230.0,7.82,237.88,No Flooding,0.3899999999999998,9970,276.0,0.0014130434782608,51,False,-1,52,0.0,0.3899999999999998,-0.0,0.0074999999999999,0.0158333333333332,0.1899999999999984,True,1.9000000000000004,False,False,Minor Flooding,51,1.0,6,18
0.0200000000000001,0.0224999999999999,0.4150000000000003,0.0224999999999999,2016-03-05 15:00:00,1230.0,7.81,237.87,No Flooding,0.4800000000000002,9970,276.0,0.0017391304347826,52,False,-1,53,0.0,0.4800000000000002,-0.0,0.0090566037735849,0.0900000000000004,1.080000000000005,False,1.4699999999999998,False,False,Minor Flooding,52,1.0,6,19
0.0200000000000001,0.0266666666666666,0.4474999999999998,0.0266666666666666,2016-03-05 16:00:00,1340.0,8.02,238.08,No Flooding,0.520833333333333,9970,276.0,0.0018870772946859,53,False,-1,54,0.0,0.520833333333333,-0.0,0.009645061728395,0.0408333333333328,0.489999999999994,False,1.4099999999999993,False,False,Minor Flooding,53,1.0,6,20
0.0224999999999996,0.0224999999999999,0.4841666666666668,0.0224999999999999,2016-03-05 17:00:00,1760.0,8.81,238.87,No Flooding,0.5516666666666662,9970,276.0,0.0019987922705313,54,False,-1,55,0.0,0.5516666666666662,-0.0,0.010030303030303,0.0308333333333331,0.3699999999999979,False,1.9800000000000004,False,False,Minor Flooding,54,1.0,6,21
0.0224999999999996,0.0066666666666668,0.5274999999999999,0.0066666666666668,2016-03-05 18:00:00,2750.0,10.58,240.64,No Flooding,0.5633333333333331,9970,276.0,0.0020410628019323,55,False,-1,56,0.0,0.5633333333333331,-0.0,0.0100595238095238,0.0116666666666669,0.1400000000000032,True,3.05,False,False,Minor Flooding,55,1.0,6,22
0.0100000000000003,0.0,0.5766666666666668,0.0,2016-03-05 19:00:00,4080.0,12.57,242.63,No Flooding,0.5866666666666671,9970,276.0,0.0021256038647343,56,False,-1,57,0.0,0.5866666666666671,-0.0,0.0102923976608187,0.0233333333333339,0.2800000000000078,False,4.75,False,False,Minor Flooding,56,1.0,6,23
0.0233333333333334,0.0166666666666666,0.6266666666666669,0.0166666666666666,2016-03-05 20:00:00,5570.0,14.4,244.46,Action,0.6833333333333336,9970,276.0,0.002475845410628,57,False,-1,58,0.0,0.6833333333333336,-0.0,0.0117816091954023,0.0966666666666664,1.1599999999999977,False,6.590000000000001,False,False,Minor Flooding,57,1.0,6,24
0.0358333333333333,0.0200000000000001,0.6549999999999999,0.0200000000000001,2016-03-05 21:00:00,8040.0,16.73,246.79,Minor Flooding,0.7308333333333334,9970,276.0,0.0026479468599033,58,False,-1,59,0.0,0.7308333333333334,-0.0,0.0123870056497175,0.0474999999999998,0.5699999999999985,False,8.71,False,False,Minor Flooding,58,1.0,6,25
