Latitude,Longitude,Distance_From_Gage,Major_Flooding_NAVD88,Moderate_Flooding_NAVD88,Minor_Flooding_NAVD88,Action_Flooding_NAVD88
36.963475,-122.012438,10449.265625164626,251.82,249.56,246.56,244.06
36.964155,-122.012306,10390.520552484391,251.82,249.56,246.56,244.06
36.964781,-122.012412,10326.147581308504,251.82,249.56,246.56,244.06
36.965448,-122.012655,10251.625552833833,251.82,249.56,246.56,244.06
36.966131,-122.012909,10175.116387899885,251.82,249.56,246.56,244.06
36.96693,-122.01328,10082.227638314507,251.82,249.56,246.56,244.06
36.967428,-122.013676,10016.680365169701,251.82,249.56,246.56,244.06
36.967607,-122.013911,9988.81484638023,251.82,249.56,246.56,244.06
36.967688,-122.014019,9976.130153673588,251.82,249.56,246.56,244.06
36.967806,-122.014174,9957.761648493677,251.82,249.56,246.56,244.06
36.967925,-122.014751,9919.799482256252,251.82,249.56,246.56,244.06
36.967963,-122.01569,9873.157166774667,251.82,249.56,246.56,244.06
36.968026,-122.016589,9826.413601575552,251.82,249.56,246.56,244.06
36.968052,-122.017302,9791.952495398027,251.82,249.56,246.56,244.06
36.968052,-122.017302,9791.952495398027,251.82,249.56,246.56,244.06
36.968069,-122.01778,9769.054223720728,251.82,249.56,246.56,244.06
36.96807,-122.018364,9743.165323191912,251.82,249.56,246.56,244.06
36.96803,-122.019125,9713.743263431203,251.82,249.56,246.56,244.06
36.968093,-122.020441,9650.903166609341,251.82,249.56,246.56,244.06
36.968242,-122.021237,9602.55506532037,251.82,249.56,246.56,244.06
36.96875,-122.022093,9516.842314131994,251.82,249.56,246.56,244.06
36.969115,-122.022393,9468.529435189776,251.82,249.56,246.56,244.06
36.96963,-122.022685,9405.864133997398,251.82,249.56,246.56,244.06
36.970113,-122.022872,9350.740753980523,251.82,249.56,246.56,244.06
36.970706,-122.022968,9288.712904652779,251.82,249.56,246.56,244.06
36.971805,-122.023174,9172.722236141755,251.82,249.56,246.56,244.06
36.971805,-122.023174,9172.722236141755,251.82,249.56,246.56,244.06
36.971826,-122.023178,9170.505010569545,251.82,249.56,246.56,244.06
36.972738,-122.023186,9081.39611445447,251.82,249.56,246.56,244.06
36.973402,-122.023033,9023.56265105904,251.82,249.56,246.56,244.06
36.973999,-122.022961,8968.912967441269,251.82,249.56,246.56,244.06
36.974073,-122.022952,8962.153487963533,251.82,249.56,246.56,244.06
36.974412,-122.022989,8927.783748503736,251.82,249.56,246.56,244.06
36.974979,-122.023062,8869.869409277899,251.82,249.56,246.56,244.06
36.975238,-122.023085,8843.896604776148,251.82,249.56,246.56,244.06
36.975713,-122.023217,8792.321449999541,251.82,249.56,246.56,244.06
36.976068,-122.023364,8751.645682172842,251.82,249.56,246.56,244.06
36.97799,-122.024346,8523.229495132104,251.82,249.56,246.56,244.06
36.978435,-122.024661,8466.438849559008,251.82,249.56,246.56,244.06
36.97875,-122.024845,8427.982614391396,251.82,249.56,246.56,244.06
36.97875,-122.024845,8427.982614391396,251.82,249.56,246.56,244.06
36.979103,-122.02505,8384.942502646627,251.82,249.56,246.56,244.06
36.980106,-122.025543,8266.68026036993,251.82,249.56,246.56,244.06
36.980684,-122.025825,8198.642321195772,251.82,249.56,246.56,244.06
36.98113,-122.026,8148.07560615756,251.82,249.56,246.56,244.06
36.982127,-122.026466,8031.7037272057505,251.82,249.56,246.56,244.06
36.982566,-122.026659,7981.033636136222,251.82,249.56,246.56,244.06
36.983086,-122.026916,7919.737573241303,251.82,249.56,246.56,244.06
36.983339,-122.027041,7889.920985979699,251.82,249.56,246.56,244.06
36.983736,-122.027207,7844.516839182849,251.82,249.56,246.56,244.06
36.984245,-122.027453,7784.8026350428445,251.82,249.56,246.56,244.06
36.98458,-122.027591,7746.605495194994,251.82,249.56,246.56,244.06
36.984852,-122.027684,7716.474113715809,251.82,249.56,246.56,244.06
36.985166,-122.027803,7681.165693545237,251.82,249.56,246.56,244.06
36.985202,-122.027811,7677.378203579508,251.82,249.56,246.56,244.06
36.985408,-122.027857,7655.700430002046,251.82,249.56,246.56,244.06
36.985565,-122.027892,7639.1878259582545,251.82,249.56,246.56,244.06
36.985565,-122.027892,7639.1878259582545,251.82,249.56,246.56,244.06
36.985911,-122.02797,7602.775721204666,251.82,249.56,246.56,244.06
36.986222,-122.028021,7570.957432434726,251.82,249.56,246.56,244.06
36.986595,-122.028175,7528.502396740561,251.82,249.56,246.56,244.06
36.987024,-122.028492,7473.163940125417,251.82,249.56,246.56,244.06
36.987567,-122.028815,7406.769573095003,251.82,249.56,246.56,244.06
36.987673,-122.02888,7393.7185363887675,251.82,249.56,246.56,244.06
36.987785,-122.028931,7380.754705196894,251.82,249.56,246.56,244.06
36.987886,-122.028956,7370.046154528976,251.82,249.56,246.56,244.06
36.987976,-122.028958,7361.454627621325,251.82,249.56,246.56,244.06
36.988054,-122.028934,7355.217379232104,251.82,249.56,246.56,244.06
36.988147,-122.028884,7348.7920400918465,251.82,249.56,246.56,244.06
36.988309,-122.028861,7334.6078282096205,251.82,249.56,246.56,244.06
36.988415,-122.028881,7323.683778765775,251.82,249.56,246.56,244.06
36.988557,-122.028932,7307.912196835352,251.82,249.56,246.56,244.06
36.988676,-122.028986,7294.165687236427,251.82,249.56,246.56,244.06
36.988802,-122.029015,7280.94316593313,251.82,249.56,246.56,244.06
36.988951,-122.029067,7264.474051076958,251.82,249.56,246.56,244.06
36.989071,-122.029112,7251.06493745414,251.82,249.56,246.56,244.06
36.989205,-122.029186,7234.968317335903,251.82,249.56,246.56,244.06
36.989229,-122.029199,7232.09744210192,251.82,249.56,246.56,244.06
36.989293,-122.029246,7223.85748899553,251.82,249.56,246.56,244.06
36.989354,-122.029316,7214.809851729124,251.82,249.56,246.56,244.06
36.989477,-122.029437,7197.5211359521845,251.82,249.56,246.56,244.06
36.989683,-122.029553,7172.669603189966,251.82,249.56,246.56,244.06
36.989842,-122.0297,7150.766226871306,251.82,249.56,246.56,244.06
36.989931,-122.029774,7138.898266281199,251.82,249.56,246.56,244.06
36.990061,-122.02988,7121.6620402600765,251.82,249.56,246.56,244.06
36.990255,-122.030033,7096.185829051327,251.82,249.56,246.56,244.06
36.990473,-122.030256,7065.14057971669,251.82,249.56,246.56,244.06
