Latitude,Longitude,Distance,Major_Flooding_NAVD88,Moderate_Flooding_NAVD88,Minor_Flooding_NAVD88,Action_Flooding_NAVD88,fid,Named,Cumulative_Distance,Interpolated_Major_Flooding_NAVD88,Interpolated_Moderate_Flooding_NAVD88,Interpolated_Minor_Flooding_NAVD88,Interpolated_Action_Flooding_NAVD88
36.963475,-122.012438,,,,,,1.0,Yes,0.0,,,,
36.964155,-122.012306,,,,,,1.0,Yes,76.37439671081633,,,,
36.964781,-122.012412,,,,,,1.0,Yes,146.48436724491143,,,,
36.965448,-122.012655,,,,,,1.0,Yes,223.60428738471387,,,,
36.966131,-122.012909,,,,,,1.0,Yes,302.70455704925166,,,,
36.96693,-122.01328,,,,,,1.0,Yes,397.33001701884604,,,,
36.967428,-122.013676,,,,,,1.0,Yes,462.88858500831856,,,,
36.967607,-122.013911,,,,,,1.0,Yes,491.7423191224242,,,,
36.967688,-122.014019,,,,,,1.0,Yes,504.90657793889665,,,,
36.967806,-122.014174,,,,,,1.0,Yes,523.93285838891,,,,
36.967925,-122.014751,,,,,,1.0,Yes,576.984225924539,,,,
36.967963,-122.01569,,,,,,1.0,Yes,660.7075353423404,,,,
36.968026,-122.016589,,,,,,1.0,Yes,741.0672769544548,,,,
36.96803,-122.019125,,,,,,1.0,Yes,966.8957912263727,,,,
36.968052,-122.017302,,,,,,1.0,Yes,1129.250315598859,,,,
36.968052,-122.017302,,,,,,1.0,Yes,1129.250315598859,,,,
36.968069,-122.01778,,,,,,1.0,Yes,1171.8574736961953,,,,
36.96807,-122.018364,,,,,,1.0,Yes,1223.8621370417832,,,,
36.968093,-122.020441,,,,,,1.0,Yes,1408.8342401664288,,,,
36.968242,-122.021237,,,,,,1.0,Yes,1481.6202212503217,,,,
36.96875,-122.022093,,,,,,1.0,Yes,1576.428479359017,,,,
36.969115,-122.022393,,,,,,1.0,Yes,1624.9510922095635,,,,
36.96963,-122.022685,,,,,,1.0,Yes,1687.7410776659387,,,,
36.970113,-122.022872,,,,,,1.0,Yes,1743.8699244590196,,,,
36.970706,-122.022968,,,,,,1.0,Yes,1810.2322218121094,,,,
36.971805,-122.023174,,,,,,1.0,Yes,1933.5677573053465,,,,
36.971805,-122.023174,,,,,,1.0,Yes,1933.5677573053465,,,,
36.971826,-122.023178,,,,,,1.0,Yes,1935.9253373057388,,,,
36.972738,-122.023186,,,,,,1.0,Yes,2037.13898015248,,,,
36.973402,-122.023033,,,,,,1.0,Yes,2112.0765823669954,,,,
36.973999,-122.022961,,,,,,1.0,Yes,2178.6394022810346,,,,
36.974073,-122.022952,,,,,,1.0,Yes,2186.890719346511,,,,
36.974412,-122.022989,,,,,,1.0,Yes,2224.655954616058,,,,
36.974979,-122.023062,,,,,,1.0,Yes,2287.91484069272,,,,
36.975238,-122.023085,,,,,,1.0,Yes,2316.7307942310445,,,,
36.975713,-122.023217,,,,,,1.0,Yes,2370.739341888756,,,,
36.976068,-122.023364,,,,,,1.0,Yes,2412.2536023305456,,,,
36.97799,-122.024346,,,,,,1.0,Yes,2642.7772080601662,,,,
36.978435,-122.024661,,,,,,1.0,Yes,2699.5705285677955,,,,
36.97875,-122.024845,,,,,,1.0,Yes,2738.176798112956,,,,
36.97875,-122.024845,,,,,,1.0,Yes,2738.176798112956,,,,
36.979103,-122.02505,,,,,,1.0,Yes,2781.395188202107,,,,
36.980106,-122.025543,,,,,,1.0,Yes,2901.0475324622266,,,,
36.980684,-122.025825,,,,,,1.0,Yes,2969.9312171677075,,,,
36.98113,-122.026,,,,,,1.0,Yes,3021.8215497589194,,,,
36.982127,-122.026466,,,,,,1.0,Yes,3139.989004702261,,,,
36.982566,-122.026659,,,,,,1.0,Yes,3191.6495118302832,,,,
36.983086,-122.026916,,,,,,1.0,Yes,3253.7283636186976,,,,
36.983339,-122.027041,,,,,,1.0,Yes,3283.930768565712,,,,
36.983736,-122.027207,,,,,,1.0,Yes,3330.4015115591083,,,,
36.984245,-122.027453,,,,,,1.0,Yes,3390.986228702718,,,,
36.98458,-122.027591,,,,,,1.0,Yes,3430.141160351305,,,,
36.984852,-122.027684,,,,,,1.0,Yes,3461.4419448838953,,,,
36.985166,-122.027803,,,,,,1.0,Yes,3497.8637597310412,,,,
36.985202,-122.027811,,,,,,1.0,Yes,3501.9219339402553,,,,
36.985408,-122.027857,,,,,,1.0,Yes,3525.147188298659,,,,
36.985565,-122.027892,,,,,,1.0,Yes,3542.8470744339884,,,,
36.985565,-122.027892,,,,,,1.0,Yes,3542.8470744339884,,,,
36.985911,-122.02797,,,,,,1.0,Yes,3581.8681149423855,,,,
36.986222,-122.028021,,,,,,1.0,Yes,3616.679453059549,,,,
36.986595,-122.028175,,,,,,1.0,Yes,3660.285423442142,,,,
36.987024,-122.028492,,,,,,1.0,Yes,3715.6307293109157,,,,
36.987567,-122.028815,,,,,,1.0,Yes,3782.4007633272754,,,,
36.987673,-122.02888,,,,,,1.0,Yes,3795.5106172882315,,,,
36.987785,-122.028931,,,,,,1.0,Yes,3808.743390118076,,,,
36.987886,-122.028956,,,,,,1.0,Yes,3820.1709392519197,,,,
36.987976,-122.028958,,,,,,1.0,Yes,3830.160493596313,,,,
36.988054,-122.028934,,,,,,1.0,Yes,3839.0765236262123,,,,
36.988147,-122.028884,,,,,,1.0,Yes,3850.31640102005,,,,
36.988309,-122.028861,,,,,,1.0,Yes,3868.410969052817,,,,
36.988415,-122.028881,,,,,,1.0,Yes,3880.3085589647835,,,,
36.988557,-122.028932,,,,,,1.0,Yes,3896.708368270881,,,,
36.988676,-122.028986,,,,,,1.0,Yes,3910.762453549975,,,,
36.988802,-122.029015,,,,,,1.0,Yes,3924.9819449093684,,,,
36.988951,-122.029067,,,,,,1.0,Yes,3942.1533617200785,,,,
36.989071,-122.029112,,,,,,1.0,Yes,3956.0601631348436,,,,
36.989205,-122.029186,,,,,,1.0,Yes,3972.3250045545424,,,,
36.989229,-122.029199,,,,,,1.0,Yes,3975.229034477252,,,,
36.989293,-122.029246,,,,,,1.0,Yes,3983.472414006535,,,,
36.989354,-122.029316,,,,,,1.0,Yes,3992.6735957277306,,,,
36.989477,-122.029437,,,,,,1.0,Yes,4010.0621723260733,,,,
36.989683,-122.029553,,,,,,1.0,Yes,4035.1476968028337,,,,
36.989842,-122.0297,,,,,,1.0,Yes,4057.1162276521377,,,,
36.989931,-122.029774,,,,,,1.0,Yes,4068.9886015488955,,,,
36.990061,-122.02988,,,,,,1.0,Yes,4086.22772418045,,,,
36.990255,-122.030033,,,,,,1.0,Yes,4111.704065443338,,,,
36.990473,-122.030256,,,,,,1.0,Yes,4142.999617953877,,,,
36.990587,-122.030462,,,,,,1.0,Yes,4165.278886832994,,,,
36.99063,-122.030524,,,,,,1.0,Yes,4172.575192898198,,,,
36.990736,-122.030781,,,,,,1.0,Yes,4198.301086693253,,,,
36.990809,-122.031027,,,,,,1.0,Yes,4221.651050321784,,,,
36.990905,-122.03127,,,,,,1.0,Yes,4245.764658355984,,,,
36.991001,-122.031499,,,,,,1.0,Yes,4268.766762977099,,,,
36.991103,-122.031616,,,,,,1.0,Yes,4284.14922346192,,,,
36.991195,-122.031682,,,,,,1.0,Yes,4295.929017734584,,,,
36.991305,-122.031741,,,,,,1.0,Yes,4309.218493347081,,,,
36.991424,-122.031813,,,,,,1.0,Yes,4323.898051125661,,,,
36.991494,-122.031857,,,,,,1.0,Yes,4332.598103839999,,,,
36.991589,-122.031975,,,,,,1.0,Yes,4347.480888876582,,,,
36.991589,-122.031975,,,,,,1.0,Yes,4347.480888876582,,,,
36.991617,-122.032009,,,,,,1.0,Yes,4351.818726791715,,,,
36.99173,-122.032175,,,,,,1.0,Yes,4371.20013478888,,,,
36.991848,-122.032477,,,,,,1.0,Yes,4401.104311775328,,,,
36.991921,-122.03266,,,,,,1.0,Yes,4419.298385740022,,,,
36.99194,-122.032675,,,,,,1.0,Yes,4421.794211557306,,,,
36.992032,-122.032745,,,,,,1.0,Yes,4433.755561187205,,,,
36.992163,-122.032795,,,,,,1.0,Yes,4448.959729759918,,,,
36.992479,-122.032855,,,,,,1.0,Yes,4484.433041203779,,,,
36.992583,-122.032867,,,,,,1.0,Yes,4496.024031986659,,,,
36.992815,-122.032867,,,,,,1.0,Yes,4521.770813239771,,,,
36.993051,-122.032891,,,,,,1.0,Yes,4548.048501518021,,,,
36.993364,-122.032916,,,,,,1.0,Yes,4582.85568285426,,,,
36.993691,-122.033039,,,,,,1.0,Yes,4620.76118657034,,,,
36.994173,-122.03315,,,,,,1.0,Yes,4675.157334302713,,,,
36.994396,-122.033188,,,,,,1.0,Yes,4700.135437958527,,,,
36.99467,-122.033251,,,,,,1.0,Yes,4731.05611534934,,,,
36.994916,-122.033348,,,,,,1.0,Yes,4759.689564208735,,,,
36.995054,-122.033447,,,,,,1.0,Yes,4777.359043458141,,,,
36.995238,-122.033586,,,,,,1.0,Yes,4801.235230616945,,,,
36.995383,-122.033705,,,,,,1.0,Yes,4820.5006595801415,,,,
36.995574,-122.033892,,,,,,1.0,Yes,4847.4523863671675,,,,
36.996153,-122.034853,,,,,,1.0,Yes,4954.441900747712,,,,
36.996289,-122.035097,,,,,,1.0,Yes,4980.890949362697,,,,
36.996371,-122.035282,,,,,,1.0,Yes,4999.706005299002,,,,
36.996438,-122.035485,,,,,,1.0,Yes,5019.246206906963,,,,
36.99648,-122.035828,,,,,,1.0,Yes,5050.1323539795285,,,,
36.996502,-122.036181,,,,,,1.0,Yes,5081.649626706018,,,,
36.99655,-122.036408,,,,,,1.0,Yes,5102.546553138831,,,,
36.996628,-122.036646,,,,,,1.0,Yes,5125.432478745393,,,,
36.996734,-122.036797,,,,,,1.0,Yes,5143.294523311026,,,,
36.996798,-122.036858,,,,,,1.0,Yes,5152.2349205084465,,,,
36.996798,-122.036858,,,,,,1.0,Yes,5152.2349205084465,,,,
36.996863,-122.036919,,,,,,1.0,Yes,5161.26373108476,,,,
36.996895,-122.036916,,,,,,1.0,Yes,5164.825040143183,,,,
36.996986,-122.036907,,,,,,1.0,Yes,5174.955727106019,,,,
36.997281,-122.036857,,,,,,1.0,Yes,5207.995268116151,,,,
36.997418,-122.036832,,,,,,1.0,Yes,5223.361196666569,,,,
36.997611,-122.036803,,,,,,1.0,Yes,5244.934870949324,,,,
36.997902,-122.036728,,,,,,1.0,Yes,5277.912188551357,,,,
36.997988,-122.036708,,,,,,1.0,Yes,5287.620883037414,,,,
36.998138,-122.036662,,,,,,1.0,Yes,5304.763716403695,,,,
36.99842,-122.036578,,,,,,1.0,Yes,5336.940225215972,,,,
36.998554,-122.036564,,,,,,1.0,Yes,5351.863349335394,,,,
36.998851,-122.036473,,,,,,1.0,Yes,5385.804446465869,,,,
36.998938,-122.036432,,,,,,1.0,Yes,5396.1262258213255,,,,
36.999067,-122.036373,,,,,,1.0,Yes,5411.375227688323,,,,
36.999226,-122.036297,,,,,,1.0,Yes,5430.273014950749,,,,
36.99932,-122.036277,,,,,,1.0,Yes,5440.855725770331,,,,
36.999626,-122.03619,,,,,,1.0,Yes,5475.686672430572,,,,
36.999838,-122.036168,,,,,,1.0,Yes,5499.295287737761,,,,
36.999981,-122.036144,,,,,,1.0,Yes,5515.308230567224,,,,
37.000217,-122.036143,,,,,,1.0,Yes,5541.499105829113,,,,
37.000478,-122.036125,,,,,,1.0,Yes,5570.508551082071,,,,
37.000623,-122.03608,,,,,,1.0,Yes,5587.091335185907,,,,
37.000778,-122.03605,,,,,,1.0,Yes,5604.498905374952,,,,
37.000969,-122.036052,,,,,,1.0,Yes,5625.696385713524,,,,
37.00108,-122.036087,,,,,,1.0,Yes,5638.402740622792,,,,
37.00138,-122.03621,,,,,,1.0,Yes,5673.4499684477305,,,,
37.001509,-122.036314,,,,,,1.0,Yes,5690.498253969982,,,,
37.001626,-122.036407,,,,,,1.0,Yes,5705.8968969753105,,,,
37.001884,-122.036592,,,,,,1.0,Yes,5738.926581316608,,,,
37.002101,-122.036774,,,,,,1.0,Yes,5767.950374829876,,,,
37.002161,-122.036837,,,,,,1.0,Yes,5776.655701108912,,,,
37.002289,-122.036997,,,,,,1.0,Yes,5796.770498448065,,,,
37.002439,-122.037137,,,,,,1.0,Yes,5817.564578450161,,,,
37.002774,-122.037425,,,,,,1.0,Yes,5862.723136558159,,,,
37.002955,-122.037626,,,,,,1.0,Yes,5889.622250435256,,,,
37.003157,-122.037967,,,,,,1.0,Yes,5927.35517704924,,,,
37.003301,-122.038246,,,,,,1.0,Yes,5956.886071973175,,,,
37.003301,-122.038246,,,,,,1.0,Yes,5956.886071973175,,,,
37.003403,-122.038444,,,,,,1.0,Yes,5977.8318415335325,,,,
37.003522,-122.038591,,,,,,1.0,Yes,5996.422211733679,,,,
37.003733,-122.038876,,,,,,1.0,Yes,6030.944868068712,,,,
37.003981,-122.039196,,,,,,1.0,Yes,6070.552035680575,,,,
37.004142,-122.039377,,,,,,1.0,Yes,6094.60998179368,,,,
37.004267,-122.039504,,,,,,1.0,Yes,6112.504550800006,,,,
37.004463,-122.039761,,,,,,1.0,Yes,6144.070119193149,,,,
37.004549,-122.0399,,,,,,1.0,Yes,6159.695523708144,,,,
37.004592,-122.039976,,,,,,1.0,Yes,6167.973845162197,,,,
37.004832,-122.040487,,,,,,1.0,Yes,6220.680879822961,,,,
37.004891,-122.040605,,,,,,1.0,Yes,6233.057433541199,,,,
37.004979,-122.040778,,,,,,1.0,Yes,6251.29132209587,,,,
37.005063,-122.040889,,,,,,1.0,Yes,6264.874749767513,,,,
37.005203,-122.041139,,,,,,1.0,Yes,6292.013661427157,,,,
37.005295,-122.041268,,,,,,1.0,Yes,6307.378326470387,,,,
37.005444,-122.04146,,,,,,1.0,Yes,6331.157815410897,,,,
37.005587,-122.041599,,,,,,1.0,Yes,6351.280210424651,,,,
37.005694,-122.041646,,,,,,1.0,Yes,6363.870129805798,,,,
37.005816,-122.041657,,,,,,1.0,Yes,6377.444767924933,,,,
37.005993,-122.041628,,,,,,1.0,Yes,6397.2566878954685,,,,
37.006078,-122.04161,,,,,,1.0,Yes,6406.824875844591,,,,
37.006211,-122.041592,,,,,,1.0,Yes,6421.671609357485,,,,
37.006311,-122.041562,,,,,,1.0,Yes,6433.086084018937,,,,
37.006389,-122.04149,,,,,,1.0,Yes,6443.856289855267,,,,
37.006475,-122.041394,,,,,,1.0,Yes,6456.666301205352,,,,
37.00657,-122.041268,,,,,,1.0,Yes,6472.058434645373,,,,
37.00663,-122.041166,,,,,,1.0,Yes,6483.316999509845,,,,
37.006683,-122.041077,,,,,,1.0,Yes,6493.183284650995,,,,
37.006771,-122.040918,,,,,,1.0,Yes,6510.377575640527,,,,
37.006867,-122.040738,,,,,,1.0,Yes,6529.617293084711,,,,
37.006915,-122.040641,,,,,,1.0,Yes,6539.761798903178,,,,
37.00699,-122.04051,,,,,,1.0,Yes,6554.087337205876,,,,
37.007058,-122.040434,,,,,,1.0,Yes,6564.221673294369,,,,
37.007132,-122.040387,,,,,,1.0,Yes,6573.438050392944,,,,
37.007219,-122.040338,,,,,,1.0,Yes,6584.032390618106,,,,
37.007268,-122.040332,,,,,,1.0,Yes,6589.496459985891,,,,
37.00734,-122.040327,,,,,,1.0,Yes,6597.499242798616,,,,
37.007417,-122.040315,,,,,,1.0,Yes,6606.111017789038,,,,
37.007486,-122.040303,,,,,,1.0,Yes,6613.842608869003,,,,
37.00753,-122.04029,,,,,,1.0,Yes,6618.860840136947,,,,
37.007588,-122.040273,,,,,,1.0,Yes,6625.472993386783,,,,
37.007676,-122.040255,,,,,,1.0,Yes,6635.369568602859,,,,
37.007767,-122.04024,,,,,,1.0,Yes,6645.55640819963,,,,
37.007832,-122.040241,,,,,,1.0,Yes,6652.770513493888,,,,
37.00792,-122.04025,,,,,,1.0,Yes,6662.569354330968,,,,
37.007931,-122.040251,,,,,,1.0,Yes,6663.79335020853,,,,
37.00801,-122.04028,,,,,,1.0,Yes,6672.93263418434,,,,
37.008086,-122.040297,,,,,,1.0,Yes,6681.501584547065,,,,
37.008147,-122.040373,,,,,,1.0,Yes,6691.071436555896,,,,
37.00817,-122.040453,,,,,,1.0,Yes,6698.635302172285,,,,
37.008226,-122.040671,,,,,,1.0,Yes,6719.0087822823525,,,,
37.008299,-122.040972,,,,,,1.0,Yes,6746.996560974737,,,,
37.008319,-122.041134,,,,,,1.0,Yes,6761.584721470419,,,,
37.008319,-122.041134,,,,,,1.0,Yes,6761.584721470419,,,,
37.008328,-122.043395,,,,,,1.0,Yes,6962.820650552458,,,,
37.008333,-122.04314,,,,,,1.0,Yes,6985.522932704335,,,,
37.008334,-122.043686,,,,,,1.0,Yes,7034.118127765454,,,,
37.008335,-122.041275,,,,,,1.0,Yes,7248.701871168953,,,,
37.008337,-122.043113,,,,,,1.0,Yes,7412.28761273923,,,,
37.008347,-122.044206,,,,,,1.0,Yes,7509.573070611867,,,,
37.008351,-122.043025,,,,,,1.0,Yes,7614.685297461961,,,,
37.008368,-122.042314,,,,,,1.0,Yes,7677.9937844610595,,,,
37.00837,-122.04219,,,,,,1.0,Yes,7689.032253662863,,,,
37.008374,-122.044355,,,,,,1.0,Yes,7881.721903994162,,,,
37.00838,-122.042636,,,,,,1.0,Yes,8034.717629316595,,,,
37.008382,-122.042499,,,,,,1.0,Yes,8046.912909769234,,,,
37.008384,-122.041797,,,,,,1.0,Yes,8109.392637079005,,,,
37.008387,-122.042042,,,,,,1.0,Yes,8131.200643130388,,,,
37.008393,-122.041952,,,,,,1.0,Yes,8139.238441632867,,,,
37.008399,-122.044456,,,,,,1.0,Yes,8362.100153398085,,,,
37.008422,-122.044539,,,,,,1.0,Yes,8369.915859405835,,,,
37.008456,-122.044623,,,,,,1.0,Yes,8378.290240487015,,,,
37.008509,-122.044695,,,,,,1.0,Yes,8386.988513677423,,,,
37.008569,-122.044753,,,,,,1.0,Yes,8395.413781241776,,,,
37.008682,-122.044807,,,,,,1.0,Yes,8408.843688558132,,,,
37.008693,-122.044809,,,,,,1.0,Yes,8410.077353811903,,,,
37.008886,-122.044847,,,,,,1.0,Yes,8431.761442846577,,,,
37.009011,-122.044832,,,,,,1.0,Yes,8445.697759993966,,,,
37.009129,-122.044794,,,,,,1.0,Yes,8459.22281939575,,,,
37.00923,-122.044769,,,,,,1.0,Yes,8470.650287037111,,,,
37.009321,-122.044718,,,,,,1.0,Yes,8481.722429601416,,,,
37.009613,-122.044524,,,,,,1.0,Yes,8518.440775886264,,,,
37.009898,-122.044351,,,,,,1.0,Yes,8553.618078344127,,,,
37.010123,-122.044213,,,,,,1.0,Yes,8581.445205648037,,,,
37.010465,-122.044049,,,,,,1.0,Yes,8622.109435748704,,,,
37.010594,-122.043937,,,,,,1.0,Yes,8639.55396434257,,,,
37.010671,-122.043875,,,,,,1.0,Yes,8649.725978638344,,,,
37.010774,-122.043792,,,,,,1.0,Yes,8663.3358303397,,,,
37.01086,-122.043721,,,,,,1.0,Yes,8674.782168686352,,,,
37.010944,-122.043641,,,,,,1.0,Yes,8686.512279304097,,,,
37.011016,-122.043567,,,,,,1.0,Yes,8696.86703031648,,,,
37.011245,-122.043334,,,,,,1.0,Yes,8729.667614032485,,,,
37.011328,-122.043265,,,,,,1.0,Yes,8740.738120986905,,,,
